clip_id,take_folder,activity,ground_truth,exo_answer,exo_predicted,exo_correct,ego_answer,ego_predicted,ego_correct
0315b91a-b56f-4fc5-87f5-28c33c3fffab,upenn_0717_Piano_3_3,Music,Late Expert,Novice,Novice,False,Novice,Novice,False
0c49cda5-7e55-46d8-8f1f-522ed1924a79,sfu_cooking_009_3,Cooking,Early Expert,Novice,Novice,False,Novice,Novice,False
cc808903-3102-4b15-a4a0-204f1379cdb3,sfu_basketball015_20,Basketball,Novice,Novice,Novice,True,Novice,Novice,True
126eb2a4-4d4f-4d35-b390-7d9550b54c60,iiith_cooking_13_1,Cooking,Novice,Novice,Novice,True,Novice,Novice,True
085a7b00-4a7a-447e-9598-b7afa31b682c,utokyo_soccer_8000_46_47_10,Soccer,Intermediate Expert,Novice,Novice,False,Novice,Novice,False
1377b49e-4a24-4e91-9fdb-709911b72f9a,upenn_0702_Cooking_3_2,Cooking,Novice,Novice,Novice,True,Novice,Novice,True
13f606fc-d7be-4b4e-a655-a090d921cf65,unc_basketball_03-16-23_02_25,Basketball,Early Expert,Novice,Novice,False,Novice,Novice,False
24b82426-f1ff-4756-892b-bbf51aecd04d,unc_basketball_03-16-23_02_7,Basketball,Early Expert,Novice,Novice,False,Novice,Novice,False
08e909ba-da1b-4509-9b04-2986cf580e50,unc_basketball_03-16-23_02_14,Basketball,Early Expert,Novice,Novice,False,Novice,Novice,False
03d19dd1-75af-491f-bafa-6639b3fadacf,uniandes_basketball_005_3,Basketball,Intermediate Expert,Novice,Novice,False,Novice,Novice,False
20bc64ed-0612-4f59-9822-7ef409c7fdd4,uniandes_basketball_004_49,Basketball,Early Expert,Novice,Novice,False,Novice,Novice,False
0b812849-e4a6-47f3-a379-0127f36bce72,upenn_0331_Guitar_1_5,Music,Intermediate Expert,Novice,Novice,False,Novice,Novice,False
196ecf05-aecd-4f42-8321-67300d8bb6cd,upenn_0710_Cooking_1_3,Cooking,Novice,Novice,Novice,True,Novice,Novice,True
a3cfad7c-b099-4729-b168-fff85dfe5a32,iiith_guitar_002_6,Music,Early Expert,Novice,Novice,False,Novice,Novice,False
127941e8-52d5-494f-901b-af3521a67ae3,sfu_cooking_003_1,Cooking,Early Expert,Novice,Novice,False,Novice,Novice,False
01b0a6e3-04ce-4f0d-8df4-b3d3c1508780,iiith_cooking_44_1,Cooking,Intermediate Expert,Novice,Novice,False,Novice,Novice,False
1a67463e-10d0-4228-ae9c-a20ffe417b5a,unc_basketball_03-16-23_02_15,Basketball,Early Expert,Novice,Novice,False,Novice,Novice,False
181b7c2f-4854-4d1c-83e0-dbc7d7c92df3,utokyo_soccer_8000_46_47_12,Soccer,Intermediate Expert,Novice,Novice,False,Novice,Novice,False
3e584c51-28f9-4b02-8439-324d4ce8101c,iiith_soccer_041_2,Soccer,Late Expert,Novice,Novice,False,Novice,Novice,False
09992555-13bf-4056-a0c8-b5058853b778,upenn_0707_Guitar_1_6,Music,Late Expert,Novice,Novice,False,Novice,Novice,False
06a5f0fa-7508-4dd7-8e9e-64c7e3a3a977,sfu_basketball_10_30,Basketball,Intermediate Expert,Novice,Novice,False,Novice,Novice,False
375f6d12-23dd-4ad1-b02a-9fd9f7a8c991,sfu_cooking_009_5,Cooking,Early Expert,Novice,Novice,False,Novice,Novice,False
019eb55a-edb3-470f-b953-975aeb596f14,unc_basketball_02-24-23_01_5,Basketball,Early Expert,Novice,Novice,False,Novice,Novice,False
18e1e279-78e1-4c10-97a7-42dace59267b,iiith_soccer_020_2,Soccer,Late Expert,Novice,Novice,False,Novice,Novice,False
444075c4-aed8-4c06-81cf-d05df0bcb207,iiith_soccer_006_4,Soccer,Late Expert,Novice,Novice,False,Novice,Novice,False
aab43780-401b-4673-b2c2-fc3521e98bea,unc_basketball_03-31-23_01_43,Basketball,Late Expert,Novice,Novice,False,Novice,Novice,False
2336980a-6599-4f18-8a4c-6f2aa92ed536,sfu_cooking_002_1,Cooking,Novice,Novice,Novice,True,Novice,Novice,True
19df5a1f-ff4f-427d-9f9a-61f001512a19,upenn_0407_Violin_2_5,Music,Intermediate Expert,Novice,Novice,False,Novice,Novice,False
2be5ff82-31ab-4ba1-8a42-7bbd89e988ea,iiith_soccer_053_2,Soccer,Intermediate Expert,Novice,Novice,False,Novice,Novice,False
34d092b6-7e39-4048-af8b-ada7c44bb59a,iiith_soccer_028_6,Soccer,Late Expert,Novice,Novice,False,Novice,Novice,False
527abbcb-0144-418a-9096-1ca2de8f26f0,iiith_guitar_002_4,Music,Early Expert,Novice,Novice,False,Novice,Novice,False
