clip_id,take_folder,ground_truth,exo_full_answer,exo_predicted,exo_correct,ego_full_answer,ego_predicted,ego_correct
b40e861f-60a7-4b55-8757-41a6af4e62e8,upenn_0730_Dance_1_7,Intermediate Expert,"Observations: The person is dancing in a room with desks and chairs. They are wearing a gray shirt and blue jeans. They are moving their arms and legs in a rhythmic manner, stepping side to side and raising their arms above their head.

Errors: The person's movements are not very fluid or precise. Their steps are uneven and their arms do not move in a smooth, flowing manner. They also appear to be struggling to maintain a consistent rhythm.

Skill Level: Novice",Novice,False,"Observations: The person is dancing in a room with desks and chairs. They are moving their arms and legs in a rhythmic manner, and their movements appear to be fluid and coordinated.

Errors: There are no noticeable errors in the person's movement. Their technique appears to be well-executed and precise.

Skill Level: Intermediate Expert",Intermediate Expert,True
4e468597-ba96-40c7-977b-7736a4a3bd73,uniandes_dance_017_3,Novice,"Observations: The person is dancing in a studio with a backdrop that says ""Ileo."" They are wearing a blue jacket, black pants, and sunglasses. They are moving their arms and legs in a rhythmic manner, stepping side to side and raising their arms above their head at times.

Errors: The person's movements appear to be somewhat stiff and lack fluidity. Their steps are not perfectly aligned, and there are moments where they seem to hesitate or struggle to maintain rhythm.

Skill Level: Novice",Novice,True,"Observations: The person is dancing in a room with a black curtain backdrop. They are wearing a blue shirt and black pants. Their movements are fluid and graceful, suggesting they have some experience with dance.

Errors: There are no significant errors in the person's movements. However, there could be room for improvement in terms of precision and synchronization with the music.

Skill Level: Intermediate Expert",Intermediate Expert,False
7d810b75-87a9-4b95-86d0-c970ae6d03a5,uniandes_dance_023_26,Late Expert,"Observations: The person is dancing in a studio with a backdrop that says ""Le Yoga."" They are wearing sunglasses and a black tank top and leggings. They are moving their arms and legs in a fluid motion, and they appear to be following a routine.

Errors: The person's movements are not perfectly synchronized with the music, and there are some small mistakes in their footwork. However, overall, their technique is good.

Skill Level: Intermediate Expert",Intermediate Expert,False,"Observations: The person is dancing in a room with a black curtain and a white wall. They are wearing a white shirt and black pants. They are moving their arms and legs in a rhythmic manner, and their feet are tapping on the floor. There is a camera on a tripod in front of them, and a person is standing behind the camera. The person is also holding a phone in their hand.

Errors: The person's movements are not very fluid, and they seem to be struggling with some of the steps. Their arms and legs are not moving in perfect sync, and there are some awkward movements.

Skill Level: Novice",Novice,False
6da46fdf-32e1-4f44-a903-ab609f0d750c,uniandes_dance_008_51,Intermediate Expert,"Observations: The woman is dancing in a studio with a man filming her. She is wearing sunglasses and a white shirt. She is moving her arms and legs in a rhythmic manner, stepping side to side and raising her arms above her head.

Errors: The woman's movements appear to be somewhat stiff and lack fluidity. Her steps are not perfectly aligned, and she seems to be struggling to maintain a consistent rhythm.

Skill Level: Novice",Novice,False,"Observations: The person is dancing in a room with a black curtain in the background. They are wearing a white shirt and black pants. Their arms are outstretched, and they are moving their legs in a rhythmic manner.

Errors: The person's movements are not very fluid, and there are some awkward steps. They also seem to be struggling with maintaining balance while dancing.

Skill Level: Novice",Novice,False
92ee422b-2245-4efa-b300-0c5dc2744043,uniandes_dance_022_3,Novice,"Observations: The person is dancing in a studio with a backdrop that says ""1Lè"". They are wearing a black shirt and blue jeans, and they are moving their arms and legs in a rhythmic manner. The person appears to be practicing a dance routine.

Errors: The person's movements are not very fluid, and there are some awkward steps and arm movements. It seems like they are still learning the routine and need more practice.

Skill Level: Novice",Novice,True,"Observations: The person is standing in front of a black curtain with white dots on it. They are wearing a black shirt and black pants. They are holding a camera on a tripod. They are looking at the camera and talking to someone off-camera. They are moving their arms and legs slightly.

Errors: The person is not dancing, so there are no errors in their movement.

Skill Level: Novice",Novice,True
6cce39fb-95c0-44b3-bddd-b20cd271f6b6,upenn_0629_Dance_3_6,Early Expert,"Observations: The person is dancing in a room with a wooden floor, a couch, and some equipment. They are wearing a plaid shirt and jeans. Their movements include stepping side to side, raising their arms, and swaying their hips.

Errors: The person's movements appear to be somewhat stiff and lack fluidity. They may benefit from practicing more to improve their technique and flow.

Skill Level: Novice",Novice,False,"Observations: The person is dancing in a room with a wooden floor and a white wall. They are wearing a plaid shirt and black pants. They are moving their arms and legs in a rhythmic manner, and they appear to be enjoying themselves.

Errors: There are no apparent errors in the person's movement. They are dancing in a fluid and graceful manner.

Skill Level: Intermediate Expert",Intermediate Expert,False
ed917883-c69b-4f94-83bd-1c7f583b4331,uniandes_dance_015_22,Late Expert,"Observations: The person is dancing in a studio with a white floor and a red wall. They are wearing black pants and a black tank top. They are moving their arms and legs in a rhythmic manner, stepping side to side and raising their arms above their head. There is a man sitting on a stool in the background, watching the dancer.

Errors: The dancer's movements are not perfectly synchronized with the music. They occasionally take small steps that do not match the rhythm of the music. Their arms are not always in the correct position for the dance moves they are performing.

Skill Level: Intermediate Expert",Intermediate Expert,False,"Observations: The person is dancing in a room with a white floor and black curtains. They are wearing a black shirt and gray pants. They are moving their arms and legs in a rhythmic manner, and their movements appear to be fluid and graceful.

Errors: There are no visible errors in the person's movement. Their technique appears to be well-executed and precise.

Skill Level: Intermediate Expert",Intermediate Expert,False
8aa071f1-fcea-4bf4-9a0a-e885a32da656,uniandes_dance_016_43,Novice,"Observations: The person is performing a dance routine with fluid movements, transitioning between different poses and steps. They appear to be comfortable and confident in their movements, showcasing a range of techniques such as arm gestures, leg movements, and body rotations.

Errors: There are no significant errors observed in the person's movements. Their technique appears to be well-executed, with smooth transitions and proper alignment.

Skill Level: Intermediate Expert",Intermediate Expert,False,"Observations: The person is dancing in a room with a black curtain in the background. They are wearing a blue shirt and have long hair. They are moving their arms and legs in a rhythmic manner, and their feet are tapping on the floor.

Errors: The person's movements are not very fluid, and they seem to be struggling with maintaining a consistent rhythm. Their steps are not very precise, and they appear to be hesitating at times.

Skill Level: Novice",Novice,True
71e8d768-1bd4-4f21-91bd-da53bfe29279,uniandes_dance_022_11,Novice,"Observations: The person is dancing in a studio with a backdrop that says ""1Lè"". They are wearing a black shirt and blue jeans, and they are moving their arms and legs in a rhythmic manner. The person appears to be practicing a dance routine.

Errors: The person's movements are not very fluid, and there are some awkward steps and arm movements. It seems like they are still learning the routine.

Skill Level: Novice",Novice,True,"Observations: The person is dancing in a room with a black curtain and a tripod. They are wearing a black shirt and jeans. Their arms are outstretched, and they are moving their hips and legs to the music.

Errors: The person's movements are not very fluid, and they seem to be struggling to keep up with the rhythm of the music. Their steps are uneven, and they are not able to maintain a consistent tempo.

Skill Level: Novice",Novice,True
88ec5df5-24f4-48d4-8452-ad4c12103a0a,uniandes_dance_013_7,Early Expert,"Observations: The person is performing a dance routine that involves stepping side to side, raising their arms, and turning their body. They appear to be moving rhythmically and with purpose.

Errors: The person's movements could be more fluid and precise. Their steps may not be perfectly aligned, and there could be some hesitation or uncertainty in their footwork.

Skill Level: Intermediate Expert",Intermediate Expert,False,"Observations: The person is dancing in a room with black curtains and a tripod. They are wearing a watch on their left wrist. They are moving their arms and legs in a rhythmic manner, suggesting they are performing a dance routine.

Errors: There are no visible errors in the person's movement. Their dance appears to be well-coordinated and fluid.

Skill Level: Intermediate Expert",Intermediate Expert,False
b8afa573-2f0f-4b77-b4b3-5fbb7197dd1f,uniandes_dance_008_11,Late Expert,"Observations: The person is performing a dance routine with fluid movements, transitioning between different poses and steps. They maintain a balanced posture throughout the sequence.

Errors: The person's movements appear to be slightly stiff at times, indicating a lack of natural flow. There may also be minor inconsistencies in the rhythm and timing of certain steps.

Skill Level: Intermediate Expert",Intermediate Expert,False,"Observations: The person is dancing in a room with a black curtain and a tripod. They are wearing a black shirt and black pants. Their arms are moving in a circular motion, and they are stepping side to side.

Errors: The person's movements are not very fluid, and there are some awkward steps. They also seem to be struggling with maintaining balance while dancing.

Skill Level: Novice",Novice,False
50e6c59b-737e-447c-984c-fde5cd3e5e80,uniandes_dance_023_51,Early Expert,"Observations: The person is dancing in a studio with a backdrop that says ""Le"" on it. They are wearing a black shirt and black pants, and they are moving their arms and legs in a rhythmic manner. They are also wearing a pair of glasses.

Errors: The person's movements are not very fluid, and there are some awkward steps and arm movements. Their posture is not very straight, and they are leaning to one side at times.

Skill Level: Novice",Novice,False,"Observations: The person is dancing in a room with a black curtain and a tripod. They are wearing a white shirt and black pants. The person is moving their arms and legs in a rhythmic manner, and they are looking at the camera.

Errors: The person's movements are not very precise, and they are not following a specific dance routine. They are also not moving their arms and legs in a coordinated manner.

Skill Level: Novice",Novice,False
